"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 14:02:31 GMT 2023","Tue Apr 18 14:02:34 GMT 2023","2790","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:02:10 GMT 2023","Tue Apr 18 14:02:11 GMT 2023","1038","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues","As a user, I want to be able to use the toolbar price filter on the search page to quickly narrow down my search results. This will allow me to find the properties that fit my budget.The system should allow a user to enter only valid values as the price, as this would result in irrelevant search results."
"passed","Tue Apr 18 14:02:25 GMT 2023","Tue Apr 18 14:02:28 GMT 2023","2859","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:02:34 GMT 2023","Tue Apr 18 14:02:35 GMT 2023","1033","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:02:04 GMT 2023","Tue Apr 18 14:02:06 GMT 2023","1679","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 14:02:11 GMT 2023","Tue Apr 18 14:02:12 GMT 2023","1056","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues","As a user, I want to be able to use the toolbar price filter on the search page to quickly narrow down my search results. This will allow me to find the properties that fit my budget.The system should allow a user to enter only valid values as the price, as this would result in irrelevant search results."
"passed","Tue Apr 18 14:02:24 GMT 2023","Tue Apr 18 14:02:25 GMT 2023","1367","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:02:09 GMT 2023","Tue Apr 18 14:02:10 GMT 2023","1135","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues","As a user, I want to be able to use the toolbar price filter on the search page to quickly narrow down my search results. This will allow me to find the properties that fit my budget.The system should allow a user to enter only valid values as the price, as this would result in irrelevant search results."
"passed","Tue Apr 18 14:02:07 GMT 2023","Tue Apr 18 14:02:08 GMT 2023","1131","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 14:02:40 GMT 2023","Tue Apr 18 14:03:47 GMT 2023","66752","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.AllListingsPageTest","org.eugens21.hostaway.technical_assignment.test.filter.AllListingsPageTest","verifyListingsOnAllListingsPage","verifyListingsOnAllListingsPage","As a user, I want to be able to view all properties available on the listings page. This will allow me to easily browse and find the property that best suits my needs."
